id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1712405,TO,Norte,1,2,3,0,5,0,7,8,9
1712454,TO,Norte,0,1,2,2,3,4,1,2,2
1712504,TO,Norte,0,1,2,2,3,4,1,3,6
1712702,TO,Norte,1,2,1,2,3,4,1,3,6
1712801,TO,Norte,1,2,3,0,5,0,7,8,9
1713205,TO,Norte,0,0,0,1,0,3,4,4,8
1713304,TO,Norte,1,2,3,0,5,0,7,8,9
1713601,TO,Norte,1,1,2,2,3,4,1,3,6
1713700,TO,Norte,0,1,2,2,3,4,3,2,2
1713809,TO,Norte,1,2,3,0,5,0,7,8,9
1713957,TO,Norte,1,2,3,0,2,6,5,7,3
1714203,TO,Norte,0,1,2,4,4,1,0,4,8
1714302,TO,Norte,1,2,3,0,5,0,7,8,9
1714880,TO,Norte,1,2,3,0,5,0,7,4,9
1715002,TO,Norte,0,1,2,2,3,4,1,2,2
1715101,TO,Norte,1,2,3,0,5,0,7,8,9
1715150,TO,Norte,0,1,2,4,4,1,0,5,0
1715259,TO,Norte,1,2,3,0,2,6,5,7,0
1715507,TO,Norte,0,1,2,4,4,1,0,2,2
1715705,TO,Norte,1,2,3,2,2,6,5,7,6
1715754,TO,Norte,0,1,3,0,5,0,7,8,9
1716109,TO,Norte,0,0,0,1,0,3,4,1,4
1716208,TO,Norte,1,2,1,3,5,0,7,8,9
1716307,TO,Norte,1,2,1,3,5,0,1,3,6
1716505,TO,Norte,0,1,2,4,4,4,1,3,6
1716604,TO,Norte,0,0,0,1,0,2,6,6,1
1716653,TO,Norte,1,2,3,0,5,0,7,8,9
1716703,TO,Norte,1,1,3,2,2,6,5,7,0
1717008,TO,Norte,0,1,2,4,4,1,0,5,0
1717206,TO,Norte,1,2,3,2,5,0,1,3,6
1717503,TO,Norte,0,1,2,2,3,4,1,3,6
1717800,TO,Norte,1,2,3,0,2,6,5,7,0
1717909,TO,Norte,1,2,3,0,2,6,5,7,0
1718006,TO,Norte,1,2,3,0,2,6,5,7,0
1718204,TO,Norte,0,0,0,1,0,3,4,1,4
1718303,TO,Norte,1,2,3,0,2,6,5,7,3
1718402,TO,Norte,0,1,2,4,4,1,0,5,7
1718451,TO,Norte,0,1,2,4,4,1,3,5,7
1718501,TO,Norte,1,2,3,0,2,6,5,7,3
1718550,TO,Norte,1,1,3,0,2,6,5,7,0
1718659,TO,Norte,1,2,3,0,2,6,5,7,0
1718709,TO,Norte,0,1,2,2,3,4,1,2,2
1718758,TO,Norte,1,2,3,0,2,6,5,7,3
1718808,TO,Norte,1,2,1,3,5,0,7,8,9
1718840,TO,Norte,0,1,2,2,3,4,3,2,2
1718865,TO,Norte,1,2,1,3,1,5,2,3,6
1718881,TO,Norte,0,1,2,2,3,4,3,2,2
1718899,TO,Norte,0,1,2,2,3,4,3,2,2
1718907,TO,Norte,0,1,2,2,3,4,1,3,6
1719004,TO,Norte,1,2,3,0,2,6,5,7,0
1720002,TO,Norte,1,2,3,0,5,0,7,8,9
1720101,TO,Norte,1,2,3,0,5,0,7,8,3
1720150,TO,Norte,1,2,1,3,5,0,7,8,9
1720200,TO,Norte,1,2,3,0,5,0,7,8,9
1720259,TO,Norte,1,2,3,0,5,0,7,8,9
1720309,TO,Norte,1,2,1,3,5,0,7,8,9
1720499,TO,Norte,1,1,3,2,3,4,1,3,6
1720655,TO,Norte,0,1,1,2,3,4,1,3,6
1720804,TO,Norte,1,2,3,0,5,0,7,8,9
1720853,TO,Norte,0,1,2,4,4,1,3,5,7
1720903,TO,Norte,1,2,1,3,1,5,2,0,5
1720937,TO,Norte,0,1,2,4,4,1,0,2,0
1720978,TO,Norte,0,1,2,2,3,4,1,3,6
